title,detail_description,rating,reviews,URL
BIBA Women Kurta,"BIBA Women Kurta,Care Instructions: Hand Wash Only, Fit Type: Regular Fit, Colour : Red, Size : M, Material : Cotton, Sleeve Type : 3/4 Sleeve, Pack Inclusion : Kurta",4.1,7 ratings,https://amazon.in/BIBA-Womens-Regular-Shirt-ASSORTED18408_Red/dp/B09S6NSBW1/ref=sr_1_83?keywords=clothes+for+women&qid=1684482199&refinements=p_n_feature_nineteen_browse-bin%3A27064186031%2Cp_72%3A1318476031&rnid=1318475031&s=apparel&sr=1-83
BIBA Women's Cotton Suit Set,"BIBA Women's Cotton Suit Set,Care Instructions: Machine Wash, Fit Type: Regular Fit, Colour : Pink, Fabric of Kurta : Cotton, Fabric of Bottom : Cotton, Fabric of Dupatta : Poly Chiffon, Pattern : Printed",4.0,1 rating,https://amazon.in/BIBA-Womens-Cotton-Straight-Kurta/dp/B0BRSB9619/ref=sr_1_84?keywords=clothes+for+women&qid=1684482199&refinements=p_n_feature_nineteen_browse-bin%3A27064186031%2Cp_72%3A1318476031&rnid=1318475031&s=apparel&sr=1-84
W for Woman Women's Regular Parallel Pants,"W for Woman Women's Regular Parallel Pants,Care Instructions: Hand Wash Only, Fit Type: Regular, Blush Solid Cotton Flax Parallel Pants With Organza Insert & Embroidery At Hem, Style the parallel pants with kurta and flats for the trendy look, Blush solid cotton flax parallel pants in mid-rise and partially elasticated waistband with organza insert & embroidery at hem",4.0,3 ratings,https://amazon.in/Woman-Regular-Parallel-21FEW60936-213731_Blush-Pink_10/dp/B08WJDMDVR/ref=sr_1_85?keywords=clothes+for+women&qid=1684482199&refinements=p_n_feature_nineteen_browse-bin%3A27064186031%2Cp_72%3A1318476031&rnid=1318475031&s=apparel&sr=1-85
W for Woman Women's Relaxed Pants,"W for Woman Women's Relaxed Pants,Care Instructions: Wash dark colors separately, do not bleach, dry in shade inside out, hot iron, Fit Type: Relaxed, 100% Viscose, Wash dark colors separately, do not bleach, dry in shade inside out, hot iron, Relaxed fit, Regular-rise",4.0,16 ratings,https://amazon.in/Woman-Womens-Relaxed-Pants-17FE60381-11903_WS_DEEP/dp/B01N4SG144/ref=sr_1_86?keywords=clothes+for+women&qid=1684482199&refinements=p_n_feature_nineteen_browse-bin%3A27064186031%2Cp_72%3A1318476031&rnid=1318475031&s=apparel&sr=1-86
W for Woman Women's Cotton Chudidar Bottom,"W for Woman Women's Cotton Chudidar Bottom,Care Instructions: Dry Clean Only, Fit Type: Regular, Color Name: Black, Material: Cotton, Chudidar, dry clean only",4.0,70 ratings,https://amazon.in/Woman-Womens-Chudidar-Bottom-19CR1094-45413_Black_WS/dp/B07LDR2522/ref=sr_1_87?keywords=clothes+for+women&qid=1684482199&refinements=p_n_feature_nineteen_browse-bin%3A27064186031%2Cp_72%3A1318476031&rnid=1318475031&s=apparel&sr=1-87
BIBA Women's Rayon A-Line Midi Dress,"BIBA Women's Rayon A-Line Midi Dress,Care Instructions: Hand Wash Only, Fit Type: Regular, Color Name: Light Pink, Material: Rayon, Hand wash, A-line, Sleeveless, Midi",4.1,3 ratings,https://amazon.in/BIBA-Rayon-line-MNMASSORTED16278LTPNK_Light-Pink_38/dp/B08KV58JJF/ref=sr_1_88?keywords=clothes+for+women&qid=1684482199&refinements=p_n_feature_nineteen_browse-bin%3A27064186031%2Cp_72%3A1318476031&rnid=1318475031&s=apparel&sr=1-88
W for Woman Women's Regular Fit Bottom Wear,"W for Woman Women's Regular Fit Bottom Wear,Care Instructions: Hand Wash Only, Fit Type: Parallel, Color Name: Ecru, Material: Rayon, Parallel, Hand wash",4.3,4 ratings,https://amazon.in/Woman-Womens-Parallel-20FEW61074-114553_-X-Large/dp/B083YL5B3G/ref=sr_1_89?keywords=clothes+for+women&qid=1684482199&refinements=p_n_feature_nineteen_browse-bin%3A27064186031%2Cp_72%3A1318476031&rnid=1318475031&s=apparel&sr=1-89
Max Women's Regular Fit Churidar,"Max Women's Regular Fit Churidar,Care Instructions: Machine Wash, Fit Type: Regular Fit, COTTON ELASTANE, OFF WHITE, MAX Women Leggings, Care : Machine Wash",4.5,4 ratings,https://amazon.in/Max-Women-Leggings-Off-White/dp/B09CNQMTK8/ref=sr_1_90?keywords=clothes+for+women&qid=1684482199&refinements=p_n_feature_nineteen_browse-bin%3A27064186031%2Cp_72%3A1318476031&rnid=1318475031&s=apparel&sr=1-90
BIBA Women's Cotton Salwar Suit Set,"BIBA Women's Cotton Salwar Suit Set,Care Instructions: Hand Wash Only, Size: 38/XL, Color : Green, Material : Cotton, Sleeve : 3/4 Sleeve, Pack Inclusion : Kurta,Churidar,Dupatta,Mask",4.1,87 ratings,https://amazon.in/BIBA-Womens-Cotton-Salwar-SKDDURGOTSA7572_Teal_38/dp/B09QH1S26W/ref=sr_1_91?keywords=clothes+for+women&qid=1684482199&refinements=p_n_feature_nineteen_browse-bin%3A27064186031%2Cp_72%3A1318476031&rnid=1318475031&s=apparel&sr=1-91
W for Woman Women's Regular Bottom,"W for Woman Women's Regular Bottom,Care Instructions: Hand Wash Only, Fit Type: Regular, Color Name: White, Material: Cotton, Parallel, Hand wash",5.0,2 ratings,https://amazon.in/Woman-Womens-cotton-parallel-20FEW60809-113660_/dp/B084CJTFLQ/ref=sr_1_92?keywords=clothes+for+women&qid=1684482199&refinements=p_n_feature_nineteen_browse-bin%3A27064186031%2Cp_72%3A1318476031&rnid=1318475031&s=apparel&sr=1-92
BIBA Women's Regular Fit Bottom Wear,"BIBA Women's Regular Fit Bottom Wear,Care Instructions: Wash separately in cold water, do not bleach, dry in shade, medium to hot iron, Fit Type: Regular, Color Name: Blue, Material: Cotton, Chudidar, Hand wash, Blue printed cotton flax pants for your summer wardrobe. Cut into regular fit and comes featuring elasticated waist and drawstring, this pair assures you will comfortable all the wearing it.",4.3,29 ratings,https://amazon.in/BIBA-Womens-Chudidar-CORE-BOT16002_Blue_Small/dp/B089KVMD64/ref=sr_1_93?keywords=clothes+for+women&qid=1684482199&refinements=p_n_feature_nineteen_browse-bin%3A27064186031%2Cp_72%3A1318476031&rnid=1318475031&s=apparel&sr=1-93
BIBA Women's Cotton Suit-Dress Set,"BIBA Women's Cotton Suit-Dress Set,Care Instructions: Machine Wash, Fit Type: Regular Fit, Color name: yellow, Material: synthetic with three quarter sleeve and round neck, Straight fit, Mid thigh dry clean only, Package content: 1 kurta",5.0,1 rating,https://amazon.in/Womens-Synthetic-Kurta-Me16348-Yel_38-Yellow/dp/B091657DB4/ref=sr_1_94?keywords=clothes+for+women&qid=1684482199&refinements=p_n_feature_nineteen_browse-bin%3A27064186031%2Cp_72%3A1318476031&rnid=1318475031&s=apparel&sr=1-94
W for Woman Women's Parallel Bottom,"W for Woman Women's Parallel Bottom,Care Instructions: Hand Wash Only, Fit Type: Parallel, Color Name: Blue, Material: Rayon, Parallel, Hand wash",5.0,2 ratings,https://amazon.in/Woman-Womens-parallel-20FEW60933-213787_-XX-Large/dp/B083YK6PMT/ref=sr_1_95?keywords=clothes+for+women&qid=1684482199&refinements=p_n_feature_nineteen_browse-bin%3A27064186031%2Cp_72%3A1318476031&rnid=1318475031&s=apparel&sr=1-95
W for Woman Women's Regular Fit Bottom Wear,"W for Woman Women's Regular Fit Bottom Wear,Care Instructions: Hand Wash Only, Fit Type: Regular, Color Name: White, Material: Cotton, Salwar, Hand wash",4.1,52 ratings,https://amazon.in/Woman-Womens-cotton-salwar-20FEW60855-213660_/dp/B083YKYHCP/ref=sr_1_96?keywords=clothes+for+women&qid=1684482199&refinements=p_n_feature_nineteen_browse-bin%3A27064186031%2Cp_72%3A1318476031&rnid=1318475031&s=apparel&sr=1-96
BIBA Women's Cotton Salwar Suit Set,"BIBA Women's Cotton Salwar Suit Set,Care Instructions: Hand Wash Only, Fit Type: Straight Fit, Color: Indigo, Care Instructions: Dry Clean Only, Material: Polyester, Package Contents: Suit Set, Department: Women",5.0,3 ratings,https://amazon.in/BIBA-INDIGO-SALWAR_SUIT_SET-blue-SKD7328/dp/B08T1JBR6P/ref=sr_1_97?keywords=clothes+for+women&qid=1684482375&refinements=p_n_feature_nineteen_browse-bin%3A27064186031%2Cp_72%3A1318476031&rnid=1318475031&s=apparel&sr=1-97
Rangriti Women's Cotton Salwar Suit Set,"Rangriti Women's Cotton Salwar Suit Set,Care Instructions: Hand Wash Only, Color Name : Orange, Style name: a-line, Cotton, Rangriti Women's Orange Salwar Suit Set",4.1,2 ratings,https://amazon.in/Rangriti-Womens-Cotton-Salwar-RSKCFS15130_Mustard_32/dp/B09GVVG93Q/ref=sr_1_98?keywords=clothes+for+women&qid=1684482375&refinements=p_n_feature_nineteen_browse-bin%3A27064186031%2Cp_72%3A1318476031&rnid=1318475031&s=apparel&sr=1-98
BIBA Women Salwar Suit Set,"BIBA Women Salwar Suit Set,Care Instructions: Machine wash in cold water,light tumble dry,use mild detergent,do not bleach,medium to hot iron, Fit Type: Straight, Color Name: Blk, Material: Modal, Straight fit, Knee length, Machine wash",4.0,45 ratings,https://amazon.in/BIBA-Womens-Straight-Salwar-SKD6087BLACK_Blk_32/dp/B07SVND48H/ref=sr_1_99?keywords=clothes+for+women&qid=1684482375&refinements=p_n_feature_nineteen_browse-bin%3A27064186031%2Cp_72%3A1318476031&rnid=1318475031&s=apparel&sr=1-99
BIBA Women's Rayon Salwar Kurta with Dupatta,"BIBA Women's Rayon Salwar Kurta with Dupatta,Care Instructions: Dry Clean Only, Fit Type: Straight Fit, Color name: sky blue, Material: synthetic, Anarkali, Ankle length dry clean only three quarter sleeve this gorgeous anarkali suit set is a perfect mix of contemporary style and traditional design it is a three piece set, which includes a long anarkali kurta, churidar and dupatta, Package content: 1 salwar suit set",4.2,5 ratings,https://amazon.in/Womens-Synthetic-Anarkali-Skd661038_Sky-Blue_38/dp/B08ZHQ8CC2/ref=sr_1_100?keywords=clothes+for+women&qid=1684482375&refinements=p_n_feature_nineteen_browse-bin%3A27064186031%2Cp_72%3A1318476031&rnid=1318475031&s=apparel&sr=1-100
BIBA Women's Synthetic Salwar Suit Set,"BIBA Women's Synthetic Salwar Suit Set,Care Instructions: Dry Clean Only, Fit Type: Straight, Color Name: Grey, Material: Synthetic, Straight fit; Calf length, Dry clean only, Sleeve Type: Cap Sleeve; Age Range Description: Adult",4.2,15 ratings,https://amazon.in/BIBA-Womens-Synthetic-Straight-SKD673438_Grey_XL/dp/B08359LPGV/ref=sr_1_101?keywords=clothes+for+women&qid=1684482375&refinements=p_n_feature_nineteen_browse-bin%3A27064186031%2Cp_72%3A1318476031&rnid=1318475031&s=apparel&sr=1-101
BIBA Women's Regular Fit Shirt,"BIBA Women's Regular Fit Shirt,Care Instructions: Hand Wash Only, Fit Type: Regular Fit, Color: Navy, Care Instructions: Hand Wash Only, Material: Cotton, Package Contents: Shirt, Department: Women",4.1,23 ratings,https://amazon.in/BIBA-Womens-Cotton-Regular-ASSORTED17516_Navy_M/dp/B0992KLJ8D/ref=sr_1_102?keywords=clothes+for+women&qid=1684482375&refinements=p_n_feature_nineteen_browse-bin%3A27064186031%2Cp_72%3A1318476031&rnid=1318475031&s=apparel&sr=1-102
BIBA Women's Polyester Suit Set,"BIBA Women's Polyester Suit Set,Care Instructions: Hand Wash Only, Fit Type: Straight Fit, Colour : Peacock Green, Fabirc : Viscose, Kurta Fit : Straight, Department : Women, Wash Care : Wash Separately In Cold Water, Do Not Bleach, Dry In Shade, Medium To Hot Iron.,Made In India",5.0,1 rating,https://amazon.in/BIBA-Womens-Polyester-SKDBANARAS8147_Peacock-Green_M/dp/B0B5WT9HSF/ref=sr_1_103?keywords=clothes+for+women&qid=1684482375&refinements=p_n_feature_nineteen_browse-bin%3A27064186031%2Cp_72%3A1318476031&rnid=1318475031&s=apparel&sr=1-103
Ada Hand Embroidered Lucknowi Chikankari Women's Cotton Palazzo Pant A711133 White,"Ada Hand Embroidered Lucknowi Chikankari Women's Cotton Palazzo Pant A711133 White,Care Instructions: Hand Wash Only, Fit Type: Regular Fit, Length of Palazzo: 38 inches, Waistband : Partially Elasticated, Number of Pockets : 2, Embroidery: Bakhiya, Phanda & Keelkangan using White cotton thread, 100% Handcrafted Product",5.0,2 ratings,https://amazon.in/Ada-Embroidered-Lucknowi-Chikankari-XS711133/dp/B09B11QY4N/ref=sr_1_104?keywords=clothes+for+women&qid=1684482375&refinements=p_n_feature_nineteen_browse-bin%3A27064186031%2Cp_72%3A1318476031&rnid=1318475031&s=apparel&sr=1-104
W for Woman Women's Synthetic Salwar Suit Set,"W for Woman Women's Synthetic Salwar Suit Set,Care Instructions: Hand Wash Only, Fit Type: Straight, Color Name: Green, Material: Synthetic, Mid thigh; Hand wash, Neck Style: Round Neck; Age Range Description: Adult; Sleeve Type: Cap Sleeve",4.2,146 ratings,https://amazon.in/Womens-Synthetic-Straight-Salwar-19AUWS30341-113854_Green_X-Small/dp/B0822SP5BL/ref=sr_1_105?keywords=clothes+for+women&qid=1684482375&refinements=p_n_feature_nineteen_browse-bin%3A27064186031%2Cp_72%3A1318476031&rnid=1318475031&s=apparel&sr=1-105
BIBA Women's Regular Fit Kurta,"BIBA Women's Regular Fit Kurta,Care Instructions: Hand Wash Only, Fit Type: Regular Fit, Colour : Pink, Size : M, Material : Rayon, Sleeve Type : 3/4 Sleeve, Pack Inclusion : Kurta,Mask",4.0,5 ratings,https://amazon.in/BIBA-Womens-Regular-Shirt-SCHIFFLI18200_Pink/dp/B09S6MGMCR/ref=sr_1_106?keywords=clothes+for+women&qid=1684482375&refinements=p_n_feature_nineteen_browse-bin%3A27064186031%2Cp_72%3A1318476031&rnid=1318475031&s=apparel&sr=1-106
BIBA Women's Silk Salwar Suit Set,"BIBA Women's Silk Salwar Suit Set,Care Instructions: Dry Clean Only, Color: Crimson Red, Care Instructions: Dry Clean Only, Material: Silk, Package Contents: Suit Set, Department: Women",4.2,3 ratings,https://amazon.in/BIBA-Womens-Salwar-SKDTILLA-DO7575_Crimson/dp/B09FZPVSMD/ref=sr_1_107?keywords=clothes+for+women&qid=1684482375&refinements=p_n_feature_nineteen_browse-bin%3A27064186031%2Cp_72%3A1318476031&rnid=1318475031&s=apparel&sr=1-107
BIBA Women's Cotton Salwar Suit Set,"BIBA Women's Cotton Salwar Suit Set,Care Instructions: Hand Wash Only, Fit Type: Straight, Color Name: Sea Green, Material: Cotton, Straight fit, Calf length; Hand wash, Sleeve Type: 3/4 Sleeve; Age Range Description: Adult",4.1,270 ratings,https://amazon.in/BIBA-Womens-cotton-straight-SKD642832_/dp/B08359MP2F/ref=sr_1_108?keywords=clothes+for+women&qid=1684482375&refinements=p_n_feature_nineteen_browse-bin%3A27064186031%2Cp_72%3A1318476031&rnid=1318475031&s=apparel&sr=1-108
Rangriti Women Suit Set,"Rangriti Women Suit Set,Care Instructions: WASH SEPARATELY IN COLD WATER, DO NOT BLEACH, DRY IN SHADE, MEDIUM TO HOT IRON.,MADE IN INDIA, Fit Type: Straight, Size : 36, Color : Turquoise, Material : Viscose, Sleeve : 3/4 Sleeve, Pack Inclusion : Kurta, Palazzo",4.0,3 ratings,https://amazon.in/Rangriti-Womens-Ethnic-Kurta-Size_L/dp/B09SHKHZDR/ref=sr_1_109?keywords=clothes+for+women&qid=1684482375&refinements=p_n_feature_nineteen_browse-bin%3A27064186031%2Cp_72%3A1318476031&rnid=1318475031&s=apparel&sr=1-109
W for Woman Women's Slim Parallel Pants,"W for Woman Women's Slim Parallel Pants,Care Instructions: Machine Wash, Fit Type: Slim, Light Green Embroidered Parallel Pants",5.0,1 rating,https://amazon.in/Woman-Light-Green-Embroidered-Parallel/dp/B09M78RKK7/ref=sr_1_110?keywords=clothes+for+women&qid=1684482375&refinements=p_n_feature_nineteen_browse-bin%3A27064186031%2Cp_72%3A1318476031&rnid=1318475031&s=apparel&sr=1-110
BIBA Womens Tie Up Neck Printed Layered Kurta Churidar with Jacket Set,"BIBA Womens Tie Up Neck Printed Layered Kurta Churidar with Jacket Set,Care Instructions: Hand Wash Only, Fit Type: Straight, Color Name: Sap Green, Material: Cotton, Calf length, Three Quarter sleeve, A kurta leggings set for your summer wardrobe; The set includes three pieces, a front open kurta, contrasting yellow inner and churidar matching to the inner",4.3,145 ratings,https://amazon.in/BIBA-Womens-cotton-straight-SKD656138_/dp/B08358W4MP/ref=sr_1_111?keywords=clothes+for+women&qid=1684482375&refinements=p_n_feature_nineteen_browse-bin%3A27064186031%2Cp_72%3A1318476031&rnid=1318475031&s=apparel&sr=1-111
